CODIGO;DESCRICAO
000298;AKINETON 5MG INJ CX 5AMP X 1ML
000327;NEO BENDAZOL 200MG CX 2 COMP
000328;NEO BENDAZOL 400MG SUS FR 10ML
000341;ALBICON TB 20G
000352;ALBUMINAR 20% INJ FR 50ML
000353;ALCA LUFTAL FR GEL 120ML
001433;BECENUN 100MG INJ 10 FA+DIL EM.
001447;BELACODID SOL GTS FR 10ML
001448;BELACODID SOL XPE FR 120ML
000376;ALCAFLOR CX 100 DRG
001449;BELAGIN D VAGINAL FR 100 ML
001451;BELEXA XPE FR 150 ML
001454;BEMINAL FR 30 COMP
001456;BENADRYL XPE FR 120ML
000397;ALCAFELOL LIQ FR 150 ML
001461;BENALET CX 12 PAST SB FRAMB
001460;BENALET CX 12 PAST SB MENTA
000411;ALDACTONE 100MG CX 16 COMP
001463;BENAPEN 400.000UI CX 100 FA+DIL
000417;ALDOMET 500MG CX 30 COMP
000416;ALDOMET 250MG CX 30 COMP
000426;ALERGO FILINAL XPE ADU FR 100ML
000425;ALERGO FILINAL XPE INF FR 50ML
001469;BENECTRIN CX 20 COMP
014953;BENECTRIN CX 50 COMP
000428;ALERGORAL FR 15ML
001473;BENECTRIN BALSAMICO CX 20 COMP
001468;BENECTRIN F CX 10 COMP
001482;BENEGRIP 300 CX 100 DRG
001483;BENERVA 300MG FR 30 COMP
001491;BENEVRAN CX 10 DRG
001492;BENEVRAN CX 20 DRG
000453;ALGEXIN COMPOSTO FR 15ML
000464;ALGICE CX 20 COMP
001502;BENTYL SOL OR FR 15ML
000478;ALIDOR 500MG CX 20 COMP SB LARANJA
001503;BENZAC AC 2,5% BG 60G
001504;BENZAC AC 5% GEL BG 60G
001505;BENZAC AC 10% BG 60G
000479;ALIN 400MG CX 1 COMP MAST
000480;ALIN 400MG SUS ORAL FR 10ML
001512;BENZETACIL 1200MUI INJ CX 1FA 1G
001511;BENZETACIL 600MUI INJ CX 1FA 1G
000487;ALKERAN 2MG CX 25 COMP
000488;ALKERAN 50MG INJ IV CX 1AMP
001519;BENZITRAT COLUT FR 150ML
001547;BENZO GINOESTRIL 5MG AP INJ 2 AMP X 1ML
000497;LOPURAX 100MG CX 20 COMP
001526;PARASIMED SAB 60G
001525;PARASIMED EMUL FR 60ML
013261;AMBEZETAL 500MG CX 6 CAP
000505;AMBRA-SINTO T SUS FR 60ML
000506;AMBRA-SINTO T SUS FR 30ML
001543;BENZOTISAN 25% FR 100ML
013263;AMICALIN 100MG INJ CX 50 AMP X 2ML
013264;AMICALIN 500MG INJ CX 50 AMP X 2ML
001555;BEPANTOL POM BG 30G
001556;BEPANTOL SOL FR 50ML
001565;BERLISON 1% CREME BG 15G
001568;BERLISON 1% POM BG 15G
001572;BEROTEC 200MCG AER FR 15ML BOC
001576;BEROTEC SOL ORAL FR 20ML
001575;BEROTEC XPE ADU FR 120ML
001574;BEROTEC XPE PED FR 120ML
000561;AMINOFILINA 240MG SOL ORAL FR 10ML
000559;AMINOFILINA 100MG CX 20 COMP
000560;AMINOFILINA 200MG CX 20 COMP
000562;AMINOFILINA 24MG INJ CX 100 AMP X 10ML
000564;AMINOVAC SOL GTS FR 15ML
001589;BETADERM POM 30G
001587;BETADERM CREME 30G
001588;BETADERM CAPILAR 60ML
013633;ULTRAMOX 125MG SUS FR 60ML
001593;BETAGAN SOL FR 5ML
013634;ULTRAMOX 250MG SUS FR 60ML
001596;BETALIVER CX 12 FLAC X 10ML
001595;BETALIVER CX 50 FLAC X 10ML
014910;UNI AMOX 250MG FR 60ML
000679;AMPICIL 1G INJ CX 10 FA+DIL EM
000677;AMPICIL 250MG FR 60ML+ENV 3G SUS EXT
000676;AMPICIL 500MG CX 48 CAP EM
000675;AMPICIL 500MG CX 6 CAP
001606;BETNOVATE CREME BG 30G
000678;AMPICIL 500MG INJ CX 25 FA EM
001607;BETNOVATE LO��O FR 50G
001608;BETNOVATE POM BG 30G
001610;BETNOVATE CAPILAR FR 50G
000730;EMICILIN 500MG FR 12 COMP
001612;BETNOVATE N POM BG 30G
000733;EMICILIN 60ML SUS FR PO 3G
001611;BETNOVATE N CREME BG 30G
001613;BETNOVATE Q CREME BG 30G
001615;BETOPTIC 0,5% SOL OFT FR 5ML
000754;AMPIGRAN 3G SUS FR PO 60ML
001624;BI-NERISONA CREME BG 15G
001628;BIAMOTIL POM OFT BG X3,5G
001638;BICAVINE CX 20 DRG
001645;BINOCTRIN CX 20 COMP
000785;UNI AMPICILIN 500MG CX 12 CAP
000788;UNI AMPICILIN SUS ORAL FR 60ML
000831;AMPLACILINA 250MG SUS FR 60ML
000826;AMPLACILINA 500MG CX 12 CAP
001664;BIOFENAC LP 100MG CX 20 CAP
000848;AMPLICTIL 100MG CX 20 COMP
000847;AMPLICTIL 25MG CX 20 COMP
000846;AMPLICTIL 5MG INJ CX 5 AMP X 5ML
001661;BIOFENAC 50MG CX 20 COMP
000849;AMPLICTIL 4% SOL ORAL FR 20ML
000716;AMPLITOR 250MG SUS FR 60ML
001663;BIOFENAC DI 50MG CX 20 COMP
000715;AMPLITOR 500MG FR 100 CAP
000714;AMPLITOR 500MG FR 18 CAP
000850;AMPLIUM 500MG CX 4 COMP
000851;AMPLIUM 500MG CX 8 COMP
001668;BIOFRUCTOSE INJ CX 3 AMP X 10ML
001669;BIOFRUCTOSE INJ CX 3 AMP X 20ML
001671;BIOFRUCTOSE INJ CX 100 AMP X 10ML
001670;BIOFRUCTOSE INJ CX 50 AMP X 20ML
000859;AMPLOTAL 250MG CX 1FA+DIL
000860;AMPLOTAL 500MG CX 1FA+DIL
000861;AMPLOTAL 1000MG CX 1FA+DIL
000868;ANABRON XPE PED FR 100ML
000869;ANABRON XPE ADU FR 100ML
000873;ANACYCLIN 1+0,05MG CX 28 COMP
001690;BISMU-JET SOL GTS FR 20ML
001691;BISOLVON 2MG SOL EXPEC 50ML
000883;ANAFRANIL 10MG CX 20 DRG
000881;ANAFRANIL 25MG INJ CX 10 AMP X 2ML
001692;BISOLVON 0,8MG XPE INF 120ML
000884;ANAFRANIL 25MG CX 20 DRG
001694;BISUISAN PO FR 50G
014889;TECNOMICINA 15U INJ CX 1FA+DIL
001741;BOLDOPEPTAN SOL FR 100ML
000903;ANARTRIT 20MG CX 12 CAP
001756;BREXIN CX 10 COMP
001755;BREXIN CX 5 COMP
000907;ANATYL 325MG CX 20 COMP
001757;BREXIN CX 5 SUP
000909;ANATYL 100MG SOL ORAL FR 10ML
000913;ANCORON 200MG CX 20 COMP
001764;BRICANYL DURILES 5MG CX 10 CAP
000911;ANCORON 50MG CX 50 AMP X 3ML
000910;ANCORON 50MG CX 6 AMP X 3ML
000914;ANCORON 200MG SOL FR 30ML
001760;BRICANYL SOL NEB FR 10ML
001763;BRICANYL EXPEC XPE FR 100ML
001759;BRICANYL 2,5MG CX 20 COMP
000917;ANDOLBA TUBO 43G
000918;ANDRIODERMOL LIQ FR 50ML
000919;ANDRIODERMOL PO TB 50G
001761;BRICANYL XPE FR 100ML
000920;ANDROCUR 50MG CX 20 COMP
000926;ANDURSIL CX 20 COMP MAST
000927;ANDURSIL GEL FR 240ML
001769;BROMALGINA SIL GTS FR 10ML
000933;ANEKRON SOL CX 12 FLAC X10ML
000939;ANESTALCON SOL FR 5ML
000940;ANESTESICO SOL OFT COL FR 10ML
001793;BROMOPIRIN CX 20 CAP
000943;ANFERTIL CX 21 COMP
000945;ANFLAT SOL FR 10ML
000944;ANFLAT 40MG CX 20 COMP
000948;ANGINO RUB CX 16 PAST SB MENTA
000973;ANSILIVE 5MG CX 20 COMP
000975;ANSITEC 5MG CX 20 COMP
000976;ANSITEC 10MG CX 20 COMP
000982;ANTAK 150MG CX 10 COMP
000983;ANTAK 150MG CX 20 COMP
000981;ANTAK 150MG EFER CX 10 COMP
000986;ANTAK 300MG EFER CX 10 COMP
000991;ANTAK SOL INJ CX 5 AMP X 2ML
000990;ANTAK XPE FR 120 ML
000997;ANTIGERON 25MG CX 30 COMP
000998;ANTIGERON 75MG AP CX 30 COMP
001012;ANUSOL HC POM BG 15G
001013;ANUSOL HC CX 6 SUP
001024;APETIL LIQ FR 100ML
001829;BRONDILAT XPE FR 120ML
001029;APEVITIN BC SOL FR 240ML
001830;BRONDILAT PEDIATRICO 5MG XPE FR 120ML
001038;APRESOLINA 25MG CX 20 DRG
001039;APRESOLINA 50MG CX 20 DRG
001835;BRONQUIASMA SOL FR 100ML
001836;BRONQUIDEX XPE FR 150ML
001837;BRONQUIMUCIL SUS FR 100ML
001839;BRONQUITOS XPE INF FR 60ML
001840;BRONQUITOS XPE ADU FR 120ML
001057;ARCALION CX 20 DRG
001067;ARGIROL 10% SOL OFT COL FR 5ML
001070;ARMOGLOBULINA-P IV 1G INJ CX 1FA+DIL X 20ML
001849;BUCLIFEN-VIT FR 20 COMP
001071;ARMOGLOBULINA-P IV 2,5G INJ CX 1FA+DIL X 50ML
001850;BUCLIFEN-VIT SUS FR 100ML
001080;AROVIT 300MUI CX 25 AMP X 1ML EM
001081;AROVIT 50MUI FR 30 DRG
001082;AROVIT 150MUI SOL ORAL FR 20ML
001854;BUCLITINA SOL FR 100ML
001091;ARTREN 100MG CX 10 CAP
001089;ARTREN 25MG SOL INJ 5AMP X 3ML
001092;ARTREN 50MG SUS CX 5 SUP
001093;ARTRIL 300MG CX 20 DRG
001094;ARTRIL 600MG CX 20 DRG
001859;BUFEDIL 150MG FR 30 COMP
001863;BUFEDIL INJ CX 5 AMP X 5ML
001105;ASALIT 3G PO ENV+DIL X 100ML
001106;ASALIT 250MG SUS EST 10 SUP
001109;ASCARIDIL CX ADU 100 ENV X 1 COMP
001110;ASCARIDIL CX INF 100 ENV X 1 COMP
001869;BURINAX CX 20 COMP
001871;BUSCOPAN 10MG CX 20 DRG
001873;BUSCOPAN 10MG SOL FR 20ML
001874;BUSCOPAN COMPOSTO CX 20 COMP REV
001876;BUSCOPAN COMPOSTO INJ CX 3 AMP X 5ML
001877;BUSCOPAN COMPOSTO SOL ORAL FR 20ML
001888;BUSPANIL 5MG CX 20 COMP
001889;BUSPANIL 10MG CX 20 COMP
001134;ASMEN CX 20 COMP
001135;ASMEN XPE FR 100ML
001891;BUSPAR 10MG CX 20 COMP
001890;BUSPAR 5MG CX 20 COMP
001159;ASSEPIUM SUS FR 50ML
001892;BUTAZIL CX 20 COMP
001160;ASSEPIUM SUS FR 100ML
001161;ASSEPIUM BALSAMICO SUS FR 100ML
001893;BUTAZOLIDINA 200MG INJ CX 5 AMP X 3ML
001894;BUTAZOLIDINA 200MG CX 20 DRG
001176;ATENASE CX 4 COMP MAST
001178;ATENOL 50MG CX 28 COMP
001179;ATENOL 100MG CX 28 COMP
001199;ATENS 20MG CX 20 COMP
001198;ATENS 20MG CX 10 COMP
001196;ATENS 5MG CX 30 COMP
001197;ATENS 10MG CX 20 COMP
001203;ATENSINA 0,1MG CX 30 COMP
001202;ATENSINA 0,15MG CX 30 COMP
001204;ATENSINA 0,2MG CX 30 COMP
001895;BUTAZONA C�LCICA 200MG CX 100 DRG
001902;C CALCIO CX 10 COMP EFV
001219;ATROPINA 0,5% SOL OFT OCUL FR 5ML
001218;ATROPINA 1% SOL OFT COL FR 5ML
001221;ATROVENT 0,025% SOL INAL FR 20ML
001220;ATROVENT AER FR 15ML+BOCAL+AER.
003319;DAFLON CX 16 DRG
003320;DAFLON CX 30 DRG
003318;DAFLON 500 CX 30 COMP
003321;DAFORIN 20MG CX 10 CAP
003322;DAFORIN 20MG CX 20 CAP
001907;CAAS 500MG ADU CX 200 COMP
003331;DAIVONEX POM BG 30G
003332;DAKTARIN LO�AO FR 30ML
003334;DAKTARIN GEL BG 40G
004238;EACA BALSA XPE FR 100ML
001918;CALADRYL CREME BG 28G
001235;AURORIX 150MG CX 30 COMP
001258;AZACTAM 0,5G INJ CX 1 FA+DIL
001944;CALFERON SUS ORAL 240ML
001259;AZACTAM 1G INJ CX 1FA+DIL
004247;ECTRIN CX 50 COMP
004246;ECTRIN CX 20 COMP
003352;DAONIL 5MG CX 30 COMP
003353;DARAPRIM CX 100 COMP
003356;DASC FR 20 DRG
014908;TRIOCALCIO SOL FR 150ML
005384;GABALLON FR 20 COMP
005385;GABALLON XPE FR 100ML
003367;DDAVP 0,1MG SOL NAS FR 2,5ML +2 APLIC
004789;FACYL 500 CX 4 COMP
005386;GABAX FR 60 COMP
005387;GABAX XPE FR 100ML
004790;FACYL 500 CX 8 COMP
005389;GADUOL SOL GTS FR 10ML
001559;BERIGLOBINA 320+160MG INJ CX 1AMP X 2ML
004253;EDHANOL CX 20 COMP
001947;CALCIGENOL IRRADIADO SUS ORAL FR 300ML
004270;EFORTIL 5MG CX 20 COMP
003381;DECA DURABOLIN 25MG SOL INJ F+AMP
003382;DECA DURABOLIN 50MG SOL INJ F+AMP
003383;DECADRON 0,5MG FR 20 COMP
004271;EFORTIL SOL INJ CX 6 AMP X 1ML
003384;DECADRON 0,75MG FR 20 COMP
004791;FACYL M CREME VAG BG 80G+APL
004272;EFORTIL 7,5MGL SOL ORAL FR 20ML
003386;DECADRON ELIXIR FR 120ML
004273;EFURIX 5% CREME BG 15G
005401;GAMMAR FR 36 COMP
003390;DECADRON SOL OFT GTS FR 5ML
003387;DECADRON 2MG INJ CX 2 AMP X 1ML
005402;GAMMAR XPE FR 100ML
003385;DECADRON 4MG CX 10 COMP
004793;FADIG CX 30 CAP
003388;DECADRON 4MG INJ CX FA X 2,5ML
005416;GARAMICINA 160MG INJ 1AMP X 2ML
001958;CALCIUM SANDOZ 21,6MG XPE FR 200ML
001960;CALCIUM SANDOZ+VIT C 1G TB 10 COMP SB LARAN
001959;CALCIUM SANDOZ+VIT C 1G TB 10 COMP SB LIMAO
001961;CALCIUM SANDOZ F F500 TB 12 COMP EFV
004794;FAGOLIPO 2MG CX 20 COMP
004285;ELEPRIL 5MG CX 20 COMP
001962;CALCIUM SANDOZ F F500 PO ORAL CX 20 SACH
005405;GARAMICINA CREME BG 30G
003392;DEFATIG CX 20 DRG
005414;GARAMICINA 120MG INJ 2 AMP X 1,5ML
005406;GARAMICINA 20MG INJ PED 2 AMP X 1ML
001982;CALMOCITENO 10MG CX 20 COMP
001981;CALMOCITENO 5MG CX 20 COMP
005417;GARAMICINA 280MG 1AMP X 2ML+SER
001989;CALSYNAR 100UI INJ CX 5 SER X 1ML
005408;GARAMICINA 40MG INJ CX 2 AMP X 1ML
014600;CALSYNAR 100UI INJ CX 5 SER X 0,5ML
003444;DEPAKENE 250MG FR 25 CAP
005412;GARAMICINA 80MG INJ CX 2 AMP X 2ML
003445;DEPAKENE 300MG FR 25 COMP
003446;DEPAKENE 500MG FR 50 COMP
003447;DEPAKENE XPE FR 100ML
001991;CALTREN 10MG CX 20 COMP
004799;FAMODINE 40MG CX 10 COMP
003453;DEPO MEDROL 40MG FR 2ML
005410;GARAMICINA 60MG CX 2 AMP X 1,5ML
001994;CALTREN 20MG CX 20 COMP
004798;FAMODINE 20MG CX 10 COMP
001998;CAMBEM CX 2 COMP
003450;DEPO PROVERA 50MG CX 1FR X 1ML
003458;DEPRILAN 5MG CX 20 COMP
004801;FAMOSET 20MG CX 30 COMP
001999;CAMBEM SUS ORAL FR 20ML
005418;GARASONE SOL OFT FR 10ML
004803;FAMOSET 40MG CX 30 COMP
005420;GARDENAL 100MG CX 20 COMP
005422;GARDENAL 200MG INJ CX 5 AMP X 1ML
004804;FAMOTIL 20MG CX 10 COMP
005419;GARDENAL 50MG CX 20 COMP
005421;GARDENAL 40MG SOL ORAL PED FR 20ML
004310;ELSPAR 10000UI INJ PO CX 1 FA
004314;ELUM 1MG CX 20 COMP
005424;GARGOCETIL CX 12 PAST
004315;ELUM 2MG CX 20 COMP
003481;DERMICON LIQ FR 60ML
004805;FAMOTIL 20MG CX 30 COMP
002003;CAMOMILINA C CX 20 CAP
004806;FAMOTIL 40MG CX 10 COMP
002011;CANDICORT POM DERM BG 30G
004807;FAMOTIL 40MG CX 30 COMP
002010;CANDICORT CREME DERM BG 30G
003486;DERMOBENE SOL FR 20ML
002018;CANDORAL CX 10 COMP
003485;DERMOBENE CREME BG 20G
003490;DERMODEX CREME BG 60G
004322;EMIDRAT SOL FR 500ML SB COCO
004808;FAMOX 20MG CX 10 COMP
002034;CAPOTEN 12,5MG CX 30 COMP
004324;EMISTIN CX 20 COMP
004326;EMISTIN SOL FR 100ML
002033;CAPOTEN 12,5MG CX 15 COMP
002035;CAPOTEN 25MG CX 16 COMP
002036;CAPOTEN 25MG CX 28 COMP
002037;CAPOTEN 50MG CX 16 COMP
003497;DERMOVAL POM BG 15G
004810;FAMOX 40MG CX 10 COMP
004340;EMS EXPECTORANTE XPE FR 100ML
004820;FANSIDAR CX 50 COMP
003499;DERMS POM BG 30G
004819;FANSIDAR CX 30 AMP X 2,5ML
003500;DERMYCOSE SOL FR 50ML
008619;GASTROCIMET 20MG FR 7 CAP
004825;FARLUTAL 5MG CX 20 COMP
004826;FARLUTAL 10MG CX 10 COMP
003502;DESENSIBILIZANTE CHAUVIN SOL FR 100ML
019861;GASTROGENOL LIQ FR 100ML
002113;CARBOLIM FR 50 COMP
003503;DESERILA 1MG FR 25 DRG
002114;CARBOLITIUM CX 50 COMP
002128;CARDALIN CX 30 COMP RET
003513;DESONOL BG 30G
002140;CARDIZEM 60MG CX 50 COMP
002138;CARDIZEM 30MG CX 50 COMP
003519;DESPACILINA 400MUI CX 100 FA+DIL EM
002143;CARDIZEM SR 90MG FR X 20 CAP
005477;GASTROL SUS FR 250ML
003531;DEXA-CITONEURIN CX 20 COMP
002144;CARDIZEM SR 120MG FR X 20 CAP
002150;CARNABOL CX 20 COMP
003530;DEXA-CITONEURIN INJ 3AMP X2ML+3AMP X1ML
002151;CARNABOL SUS ORAL FR 120ML
005500;GAVIZ SUS FR 240ML SB HORTELA
005499;GAVIZ SUS FR 240ML SB MORANGO
003537;DEXACOBAL CX 3AMP X 2ML+3AMP X 1ML
003544;DEXAFENICOL SOL FR 5ML
004396;ENERGOPLEX CX 50 AMP X 10ML
003545;DEXAFENICOL POM OFT BG 3,5G
004395;ENERGOPLEX CX 5 AMP X 10ML
002172;CATAFLAM 12,5MG CX 5 SUP RET
002170;CATAFLAM 50MG CX 20 DRG
002173;CATAFLAM 75MG CX 5 SUP RET
002169;CATAFLAM 75MG INJ CX 50 AMP X 3ML
004844;FASIGYN 500MG CX 4 DRG
002168;CATAFLAM 75MG INJ CX 3 AMP X 3ML
003578;NEODEX CREME BG 15G
002171;CATAFLAM 44,94MG SUS OR GTS FR 20ML
002175;CATAFLAM D 44,3MG CX 20 COMP DISP
002177;CATAFLAM EMULGEL 11,6MG BG 60G
005526;GELMAX SUS FR 240ML
003579;NEODEX ELIXIR FR 120ML
003577;NEODEX 0,5MG CX 10 COMP
014671;DICLOF CX 20 COMP
003585;DEFLAREN 0,1MG ELIXIR FR 120ML
003584;DEFLAREN 0,1% CREME 10G
002182;CATOPROL 12,5MG CX 30 COMP
002183;CATOPROL 12,5MG CX 16 COMP
002184;CATOPROL 25MG CX 30 COMP
002185;CATOPROL 25MG CX 16 COMP
002187;CATOPROL 50MG CX 16 COMP
002186;CATOPROL 50MG CX 30 COMP
005546;GENTACORT SOL FR 5ML
003595;UNI DEXA 0,1% CREME BG 10G
005547;GENTACORT POM OCUL BG 3,5G
002194;CAUTEREX BG 10G
003558;DEXAZONA 0,5MG FR 10 COMP
002198;CAZIDERM POM BG 20G
003615;DEXAMETONAL POM BG 10G
002199;CAZIGERAN CX 20 DRG
002203;CEBION 1G CX 10 COMP EFV
002205;CEBION 2G CX 10 COMP EFV
002207;CEBION 500+600MG CALCIO TB10 COMP EFV
004851;FEBUPEN 3 STP X 4 CAP
003616;DEXAMINOR POM OFT BG 3,5G
003617;DEXAMINOR SOL OFT OCUL FR 5ML
002208;CEBION 100+500MG 10ENV X 10G GRAN
003620;DEXANEURIN CX 1AMP X 2ML+1AMP X 1ML
004854;FELDENE 20MG CX 10 CAP
004855;FELDENE 20MG CX 15 CAP
003626;ALERGYO 2MG CX 20 COMP
004856;FELDENE 20MG CX 10 COMP SOLUV
003627;ALERGYO 2MG FR 100ML
002228;CEDILANIDE 0,2MG INJ CX 50 AMP X 2ML
013258;ALERMINE XPE FR 100ML
002229;CEDOZELIN 3AMP A X5ML+3AMP B X10ML
002230;CEDRIN REPETABS CX 10 COMP
003635;DEXTROVITASE INJ CX 1AMP X 10ML
002231;CEDRIN XPE FR 100ML
003636;DEXTROVITASE INJ CX 1AMP X 20ML
003639;DIABINESE 250MG CX 30 COMP
003640;DIABINESE 250MG CX 100 COMP
002259;CEFALDINA CX 20 DRG
005591;EMISGENTA 80MG INJ CX 2 AMP X 2ML
003643;DIALUDON STP CX 20 COMP
005592;EMISGENTA 160MG INJ CX 1AMP X 2ML
003644;DIAMICRON 80MG CX 20 COMP
005593;EMISGENTA 280MG INJ CX 1AMP X 2ML
003645;DIAMICRON 80MG CX 60 COMP
003649;DIANE 35 CX 21 DRG
014958;CEFAGRAN 500MG CX 8 DRG
004859;FELDENE GEL BG 30G
002287;NEOCEFLEX 125MG SUS PO FR 60ML
002283;NEOCEFLEX 250MG SUS PO FR 60ML
002286;NEOCEFLEX 500MG CX 8 COMP
003675;DIAZEPAN NQ 10MG CX 20 COMP
002304;CEFALIUM CX 12 COMP
004858;FELDENE 40MGI NJ IM CX 2 AMP
003674;DIAZEPAN NQ 5MG CX 20 COMP
003676;DIAZEPAN NQ 10MG INJ CX 1AMP
019799;CEFALOTINA SODICA 1G INJ CX 50 FA+DIL
004865;FELDEXICAM GTS FR 10ML
002316;CEFAMOX 500MG CX 48 CAP
005549;GENTAMICINA SOL OCUL FR 5ML
004438;ENZICOBA 1MG CX 40 COMP
005548;GENTAMICINA POM OCUL BG 3,5G
002315;CEFAMOX 500MG CX 8 CAP
004437;ENZICOBA 1MG CX 12 COMP
004439;ENZICOBA 5MG CX 20 COMP
005598;GENTAX 280MG INJ CX 1AMP X 2ML
004866;FELDOX 10MG CX 15 CAP
002382;CELESTAMINE CX 20 COMP
005595;GENTAGRAN POM OFT BG 3G
002383;CELESTAMINE XPE FR 120ML
005600;NEO GENTAMICIN 280MG CX 1AMP X 2ML
005599;NEO GENTAMICIN 80MG CX 1AMP X 2ML
002387;CELESTONE INJ CX 1AMP X 1ML
004868;FELDOX 20MG CX 15 CAP
002388;CELESTONE SOL ORAL GTS FR 15ML
004867;FELDOX 20MG CX 8 CAP
002384;CELESTONE 0,5MG CX 20 COMP
002385;CELESTONE 2MG CX 10 COMP
002386;CELESTONE ELIXIR SOL FR 120ML
004870;FELDOX SUS ORAL FR X 15ML
002389;CELESTONE SOLUSPAN INJ CX 1AMP X 1ML
004869;FELDOX CREME BG 50G
003684;DICINONE 250MG CX 20 COMP
002396;CENALFAN SOL GTS FR 24ML
002410;CEPACAINA CX 12 PAST
004450;EPATIVAN CX 10 FLAC X 10ML
002411;CEPACAINA SOL ORAL FR 100ML
003693;DICLOFEN INJ 3 AMP X3 ML
003722;NEOTAREN 50MG CX 20 DRG
003723;NEOTAREN 75MG INJ CX 5 AMP
003737;DICORANTIL F 250MG CX 16 COMP
004457;EPHYNAL 400MG CX 30 CAP
004888;FENAREN 50MG CX 20 COMP
005667;GINECOSIDE ESTOJO 2 DRG X 200 UNID
004894;FENAREN 75MG INJ CX 50 AMP X 3ML
003752;DIETASAL CX 50 ENV X 1G
003751;DIETASAL CX 9 SALEIRO X 120G
005670;GINEDISC 25MG SIST X 6
005671;GINEDISC 50MG X 6 SIST
005672;GINEDISC 100MG X 6 SIST
005677;GINGILONE POM BG 10G
005696;GINO LOPROX 10MG CR VAG BG 35G+6APLIC
005690;GINO-TRALEN 300MG OVULO
005691;GINO-TRALEN 6,5% POM VAG
004474;EPITEZAN POM OFT BG 3,5G
003757;DIFEDRIL XPE EXP FR 100ML
003758;DIFEN 0,1% SOL OFT COL FR 5ML
004906;CREMEFENERGAN 0,02G BG CR DERM 30G
003765;DIGECAP CX 20 CAP ZIMAT
004907;FENERGAN XPE EXPECT ADU FR 120ML
004908;FENERGAN EXPECT PED XPE FR 120ML
005734;GLAUTIMOL 0.5% SOL FR 5ML
003775;DIGESAN 10MG CX 20 CAP
003776;DIGESAN SOL GTS PED FR 20ML
003777;DIGESAN INJ CX 6 AMP X 2ML
003779;DIGESAN SOL ORAL FR 120ML
003774;DIGESAN CX 20 CAP RET
003780;DIGESNORMA CX 20 COMP
004904;FENERGAN 25MG INJ CX 25 AMP X 2ML
005770;GLIPLEX INJ CX 5 AMP X 10ML
005769;GLIPLEX INJ CX 5 AMP X 20ML
004910;FENIDEX SOL OFT COL FR 5ML
005773;GLITISOL 2 ENV GRAN X 8G
004483;EQUILID 200MG CX 20 COMP
004482;EQUILID 50MG CX 20 CAP
003801;DIGOXINA 0,25MG CX 25 CCOMP
005772;GLITISOL 500MG CX 20 CAP
003803;DIGOXINA SOL 60ML
005779;GLUCAL B 12 SOL FR 150ML
004912;NEO BUTAZOL 200MG CX 200 DRG
004914;FENILEFRINA 10% SOL FR 5ML
003821;DILAFLUX 10MG CX 30 COMP SUBLING
003822;DILAFLUX 20MG CX 20 COMP RET
